dep_time,flight,origin,dest,air_time,distance,carrier,date,arr_delay,time_hour
732,389,LGA,MCO,142,950,B6,2013-02-02,on_time,2013-02-02T12:00:00Z
555,2161,LGA,DCA,46,214,US,2013-02-13,on_time,2013-02-13T11:00:00Z
1458,2247,LGA,ATL,116,762,DL,2013-06-10,late,2013-06-10T17:00:00Z
1451,4943,LGA,RDU,76,431,EV,2013-04-05,late,2013-04-05T18:00:00Z
628,711,LGA,DFW,222,1389,AA,2013-01-31,on_time,2013-01-31T11:00:00Z
1620,347,JFK,SRQ,156,1041,B6,2013-03-16,late,2013-03-16T18:00:00Z
1502,759,LGA,DFW,195,1389,AA,2013-08-07,on_time,2013-08-07T18:00:00Z
1000,411,JFK,LAS,317,2248,B6,2013-12-02,on_time,2013-12-02T15:00:00Z
1215,34,JFK,BTV,46,266,B6,2013-09-05,on_time,2013-09-05T16:00:00Z
2202,4276,EWR,BDL,27,116,EV,2013-04-08,on_time,2013-04-08T01:00:00Z
1633,918,JFK,BOS,42,187,B6,2013-06-22,on_time,2013-06-22T20:00:00Z
1552,6,JFK,BUF,59,301,B6,2013-06-03,on_time,2013-06-03T19:00:00Z
806,2143,JFK,MIA,164,1089,DL,2013-03-20,on_time,2013-03-20T12:00:00Z
1724,1119,JFK,CLT,97,541,B6,2013-12-24,on_time,2013-12-24T22:00:00Z
1456,866,LGA,ORD,141,733,UA,2013-04-14,on_time,2013-04-14T19:00:00Z
1455,779,LGA,MIA,153,1096,AA,2013-06-14,on_time,2013-06-14T18:00:00Z
1027,4632,EWR,OMA,149,1134,EV,2013-10-13,on_time,2013-10-13T14:00:00Z
608,79,JFK,MCO,127,944,B6,2013-06-18,on_time,2013-06-18T10:00:00Z
1503,350,EWR,TPA,127,997,UA,2013-09-09,on_time,2013-09-09T19:00:00Z
1549,118,JFK,BOS,39,187,B6,2013-07-01,late,2013-07-01T17:00:00Z
1636,1176,EWR,BOS,38,200,B6,2013-02-22,on_time,2013-02-22T21:00:00Z
1202,3404,LGA,RDU,65,431,MQ,2013-07-20,on_time,2013-07-20T16:00:00Z
1019,3611,EWR,ORD,122,719,MQ,2013-10-21,on_time,2013-10-21T14:00:00Z
644,525,JFK,TPA,132,1005,B6,2013-09-01,on_time,2013-09-01T10:00:00Z
1256,2175,LGA,DCA,47,214,US,2013-02-22,on_time,2013-02-22T18:00:00Z
1028,1,JFK,FLL,145,1069,B6,2013-08-22,late,2013-08-22T14:00:00Z
1115,5299,LGA,MEM,128,963,EV,2013-07-09,on_time,2013-07-09T14:00:00Z
1810,89,JFK,SAN,334,2446,B6,2013-09-08,late,2013-09-08T20:00:00Z
1247,1565,LGA,IAH,185,1416,UA,2013-09-06,on_time,2013-09-06T16:00:00Z
1931,5714,JFK,IAD,55,228,EV,2013-11-11,late,2013-11-11T00:00:00Z
1856,5038,LGA,BHM,132,866,EV,2013-01-17,on_time,2013-01-17T23:00:00Z
1216,2902,JFK,BUF,53,301,B6,2013-12-02,on_time,2013-12-02T17:00:00Z
1700,568,EWR,BOS,40,200,UA,2013-09-17,on_time,2013-09-17T20:00:00Z
628,1433,LGA,CLT,104,544,US,2013-02-19,on_time,2013-02-19T11:00:00Z
625,4241,EWR,DCA,38,199,EV,2013-07-15,on_time,2013-07-15T10:00:00Z
1315,5948,EWR,ALB,29,143,EV,2013-12-08,on_time,2013-12-08T18:00:00Z
814,183,JFK,MCO,136,944,B6,2013-10-08,on_time,2013-10-08T12:00:00Z
2000,1442,EWR,DFW,182,1372,UA,2013-07-23,late,2013-07-23T23:00:00Z
2222,199,JFK,LAS,293,2248,B6,2013-03-13,on_time,2013-03-13T01:00:00Z
2149,655,EWR,BOS,34,200,UA,2013-09-14,on_time,2013-09-14T01:00:00Z
1005,5711,JFK,IAD,53,228,EV,2013-08-25,on_time,2013-08-25T13:00:00Z
1402,4404,JFK,RDU,71,427,MQ,2013-04-16,late,2013-04-16T17:00:00Z
1343,4491,LGA,CLE,70,419,MQ,2013-05-21,on_time,2013-05-21T17:00:00Z
1010,925,JFK,TPA,129,1005,B6,2013-09-09,on_time,2013-09-09T14:00:00Z
1636,1085,JFK,CLT,86,541,B6,2013-01-08,on_time,2013-01-08T21:00:00Z
1349,1775,LGA,MIA,142,1096,DL,2013-11-04,on_time,2013-11-04T18:00:00Z
929,689,LGA,MSY,160,1183,DL,2013-04-27,on_time,2013-04-27T13:00:00Z
1455,419,JFK,SEA,314,2422,DL,2013-11-13,on_time,2013-11-13T20:00:00Z
928,124,LGA,MDW,112,725,WN,2013-10-24,on_time,2013-10-24T13:00:00Z
1617,141,JFK,SFO,332,2586,DL,2013-10-06,on_time,2013-10-06T19:00:00Z
1344,203,EWR,BOS,44,200,UA,2013-11-13,on_time,2013-11-13T18:00:00Z
624,4424,EWR,RDU,61,416,EV,2013-08-27,on_time,2013-08-27T10:00:00Z
1243,3361,JFK,RDU,69,427,MQ,2013-06-14,on_time,2013-06-14T16:00:00Z
1837,1615,EWR,AUS,229,1504,UA,2013-11-16,on_time,2013-11-16T23:00:00Z
1026,642,JFK,SFO,333,2586,UA,2013-07-09,on_time,2013-07-09T14:00:00Z
1127,2219,LGA,MSP,147,1020,DL,2013-11-30,on_time,2013-11-30T16:00:00Z
1556,4,JFK,MCO,139,944,DL,2013-01-23,on_time,2013-01-23T21:00:00Z
1528,1013,LGA,STL,134,888,WN,2013-09-11,on_time,2013-09-11T19:00:00Z
755,553,EWR,RSW,142,1068,B6,2013-05-14,on_time,2013-05-14T12:00:00Z
1605,620,LGA,ATL,145,762,FL,2013-01-03,late,2013-01-03T21:00:00Z
1856,2202,JFK,BUF,60,301,B6,2013-11-06,on_time,2013-11-06T23:00:00Z
1437,4295,EWR,MSP,149,1008,EV,2013-06-01,on_time,2013-06-01T17:00:00Z
1855,1691,EWR,DFW,200,1372,AA,2013-10-31,on_time,2013-10-31T23:00:00Z
641,623,JFK,PHX,254,2153,US,2013-08-27,on_time,2013-08-27T10:00:00Z
1241,4633,EWR,BTV,49,266,EV,2013-11-11,on_time,2013-11-11T17:00:00Z
1700,1999,EWR,MIA,135,1085,AA,2013-07-31,on_time,2013-07-31T21:00:00Z
926,116,JFK,SYR,53,209,B6,2013-11-29,on_time,2013-11-29T14:00:00Z
1506,2480,EWR,BOS,52,200,B6,2013-08-19,late,2013-08-19T18:00:00Z
1709,4113,EWR,RIC,53,277,EV,2013-09-30,on_time,2013-09-30T21:00:00Z
1013,1444,JFK,CLT,81,541,US,2013-05-23,on_time,2013-05-23T14:00:00Z
1639,1161,LGA,PBI,143,1035,B6,2013-08-21,on_time,2013-08-21T20:00:00Z
1550,1410,LGA,MIA,165,1096,AA,2013-11-26,on_time,2013-11-26T20:00:00Z
1445,4669,LGA,ATL,107,762,MQ,2013-01-24,on_time,2013-01-24T19:00:00Z
1852,29,JFK,SFO,351,2586,VX,2013-02-12,on_time,2013-02-12T23:00:00Z
739,3759,EWR,ORD,112,719,MQ,2013-11-14,on_time,2013-11-14T12:00:00Z
1800,4382,EWR,DTW,84,488,EV,2013-12-16,on_time,2013-12-16T23:00:00Z
1334,1054,EWR,LAX,312,2454,UA,2013-09-30,on_time,2013-09-30T17:00:00Z
823,4250,EWR,CMH,74,463,EV,2013-05-27,on_time,2013-05-27T12:00:00Z
653,4099,EWR,STL,137,872,EV,2013-09-16,on_time,2013-09-16T10:00:00Z
1804,369,LGA,PBI,153,1035,B6,2013-02-11,late,2013-02-11T21:00:00Z
1200,3,JFK,LAX,323,2475,AA,2013-06-02,on_time,2013-06-02T16:00:00Z
1033,321,LGA,ORD,118,733,AA,2013-04-26,on_time,2013-04-26T14:00:00Z
609,1183,EWR,RSW,147,1068,UA,2013-08-09,on_time,2013-08-09T10:00:00Z
821,901,JFK,FLL,143,1069,B6,2013-03-08,on_time,2013-03-08T13:00:00Z
934,2074,LGA,MDW,119,725,WN,2013-04-11,on_time,2013-04-11T13:00:00Z
2014,5596,EWR,ATL,103,746,EV,2013-08-23,on_time,2013-08-23T23:00:00Z
1231,4097,JFK,BWI,39,184,9E,2013-07-11,late,2013-07-11T15:00:00Z
1614,3315,JFK,MSP,160,1029,9E,2013-05-25,on_time,2013-05-25T20:00:00Z
854,1643,EWR,DEN,278,1605,UA,2013-06-04,late,2013-06-04T13:00:00Z
959,3644,LGA,ATL,111,762,MQ,2013-07-25,late,2013-07-25T13:00:00Z
1949,4283,EWR,CHS,106,628,EV,2013-08-14,late,2013-08-14T21:00:00Z
2032,1680,EWR,MIA,139,1085,UA,2013-10-17,on_time,2013-10-17T00:00:00Z
621,905,JFK,ORD,116,740,B6,2013-06-09,on_time,2013-06-09T10:00:00Z
1005,271,LGA,FLL,136,1076,B6,2013-09-23,late,2013-09-23T13:00:00Z
703,1665,EWR,LAX,353,2454,UA,2013-12-19,on_time,2013-12-19T11:00:00Z
1838,3285,JFK,DTW,97,509,9E,2013-04-11,on_time,2013-04-11T22:00:00Z
1744,220,EWR,LAX,316,2454,UA,2013-11-24,on_time,2013-11-24T22:00:00Z
1823,3542,JFK,MSP,154,1029,9E,2013-10-22,on_time,2013-10-22T22:00:00Z
854,505,JFK,SFO,363,2586,UA,2013-11-23,on_time,2013-11-23T14:00:00Z
1253,1641,EWR,MCO,131,937,UA,2013-02-03,on_time,2013-02-03T18:00:00Z
1620,89,JFK,SAN,381,2446,B6,2013-12-08,late,2013-12-08T21:00:00Z
1924,5168,LGA,GSO,73,461,EV,2013-05-15,on_time,2013-05-15T23:00:00Z
1530,3199,LGA,CLT,85,544,MQ,2013-07-15,on_time,2013-07-15T19:00:00Z
759,1271,JFK,FLL,143,1069,DL,2013-07-05,on_time,2013-07-05T12:00:00Z
1239,1850,JFK,BOS,39,187,AA,2013-01-10,on_time,2013-01-10T17:00:00Z
1731,415,JFK,SFO,337,2586,B6,2013-11-24,on_time,2013-11-24T22:00:00Z
1723,1564,EWR,DFW,209,1372,UA,2013-02-14,on_time,2013-02-14T22:00:00Z
628,983,LGA,TPA,147,1010,B6,2013-04-29,on_time,2013-04-29T10:00:00Z
1826,1454,EWR,MSY,164,1167,WN,2013-07-05,on_time,2013-07-05T22:00:00Z
2216,4573,LGA,DTW,82,502,MQ,2013-04-02,late,2013-04-02T01:00:00Z
1222,1174,LGA,PBI,142,1035,DL,2013-07-23,on_time,2013-07-23T15:00:00Z
1340,4135,EWR,CLT,100,529,EV,2013-02-04,late,2013-02-04T17:00:00Z
1318,1459,LGA,CLT,82,544,US,2013-07-31,on_time,2013-07-31T16:00:00Z
1813,1703,EWR,BOS,35,200,UA,2013-02-03,on_time,2013-02-03T23:00:00Z
1429,5712,JFK,IAD,46,228,EV,2013-01-06,on_time,2013-01-06T19:00:00Z
1248,4682,EWR,MSY,149,1167,EV,2013-09-11,on_time,2013-09-11T16:00:00Z
840,1223,EWR,LAX,292,2454,UA,2013-02-28,on_time,2013-02-28T13:00:00Z
904,1267,EWR,ORD,117,719,UA,2013-05-15,on_time,2013-05-15T13:00:00Z
1230,3815,EWR,ORF,52,284,EV,2013-04-26,late,2013-04-26T15:00:00Z
2119,4682,EWR,GSP,92,594,EV,2013-04-06,late,2013-04-06T00:00:00Z
750,1216,EWR,SJU,214,1608,UA,2013-05-24,on_time,2013-05-24T11:00:00Z
14,2331,LGA,DTW,69,502,DL,2013-07-07,late,2013-07-07T21:00:00Z
612,301,LGA,ORD,122,733,AA,2013-02-15,on_time,2013-02-15T11:00:00Z
1850,359,LGA,ORD,121,733,AA,2013-10-20,on_time,2013-10-20T22:00:00Z
1507,4105,JFK,IAD,49,228,9E,2013-03-02,on_time,2013-03-02T20:00:00Z
1551,3199,LGA,CLT,100,544,MQ,2013-08-13,late,2013-08-13T19:00:00Z
1524,605,EWR,CLE,60,404,UA,2013-06-30,on_time,2013-06-30T19:00:00Z
745,5682,EWR,OMA,170,1134,EV,2013-02-15,on_time,2013-02-15T12:00:00Z
956,5273,LGA,PIT,52,335,EV,2013-09-14,on_time,2013-09-14T14:00:00Z
1937,345,LGA,ORD,116,733,AA,2013-12-02,late,2013-12-02T22:00:00Z
1435,4129,EWR,DCA,40,199,EV,2013-03-07,late,2013-03-07T18:00:00Z
1633,4702,EWR,GSO,69,445,EV,2013-07-20,on_time,2013-07-20T20:00:00Z
915,183,JFK,MCO,129,944,B6,2013-05-01,on_time,2013-05-01T13:00:00Z
1312,553,JFK,PBI,135,1028,B6,2013-07-15,on_time,2013-07-15T17:00:00Z
733,4422,EWR,MSP,141,1008,EV,2013-06-23,on_time,2013-06-23T11:00:00Z
942,4711,EWR,STL,148,872,EV,2013-02-20,on_time,2013-02-20T14:00:00Z
1433,688,EWR,PHX,264,2133,US,2013-06-11,on_time,2013-06-11T17:00:00Z
1853,1715,LGA,MSY,187,1183,DL,2013-10-22,on_time,2013-10-22T23:00:00Z
1119,703,JFK,LAX,335,2475,UA,2013-10-30,on_time,2013-10-30T15:00:00Z
1319,4567,EWR,MCI,151,1092,EV,2013-05-22,on_time,2013-05-22T16:00:00Z
652,763,JFK,LAX,314,2475,DL,2013-09-09,on_time,2013-09-09T11:00:00Z
1828,711,JFK,LAS,292,2248,B6,2013-03-09,on_time,2013-03-09T23:00:00Z
2006,1505,JFK,ABQ,241,1826,B6,2013-08-16,on_time,2013-08-16T00:00:00Z
604,517,EWR,MCO,119,937,B6,2013-05-14,on_time,2013-05-14T10:00:00Z
1353,213,JFK,LGB,339,2465,B6,2013-06-30,late,2013-06-30T17:00:00Z
1338,615,JFK,JAX,115,828,B6,2013-04-27,on_time,2013-04-27T17:00:00Z
706,387,EWR,LAX,318,2454,UA,2013-04-29,on_time,2013-04-29T11:00:00Z
1558,31,JFK,SLC,260,1990,DL,2013-08-18,on_time,2013-08-18T19:00:00Z
846,285,EWR,FLL,159,1065,UA,2013-02-28,on_time,2013-02-28T13:00:00Z
1715,894,LGA,CLT,79,544,US,2013-07-05,on_time,2013-07-05T21:00:00Z
1853,119,EWR,LAX,359,2454,AA,2013-12-10,late,2013-12-10T23:00:00Z
1350,3493,LGA,CLE,67,419,MQ,2013-09-22,on_time,2013-09-22T17:00:00Z
1212,529,EWR,STL,128,872,WN,2013-04-22,on_time,2013-04-22T16:00:00Z
1702,894,LGA,CLT,84,544,US,2013-08-07,on_time,2013-08-07T21:00:00Z
555,145,JFK,PBI,130,1028,B6,2013-03-07,on_time,2013-03-07T11:00:00Z
2158,1066,EWR,BOS,43,200,UA,2013-11-07,on_time,2013-11-07T02:00:00Z
1405,2444,LGA,MDW,145,725,WN,2013-04-10,late,2013-04-10T17:00:00Z
824,1592,EWR,MCO,134,937,UA,2013-07-13,on_time,2013-07-13T12:00:00Z
1017,23,JFK,SFO,364,2586,VX,2013-02-06,on_time,2013-02-06T15:00:00Z
743,59,JFK,SFO,360,2586,AA,2013-03-06,on_time,2013-03-06T12:00:00Z
1340,1164,EWR,FLL,169,1065,UA,2013-06-18,late,2013-06-18T16:00:00Z
1629,1156,LGA,DFW,212,1389,AA,2013-12-26,on_time,2013-12-26T20:00:00Z
1543,5181,EWR,ATL,93,746,EV,2013-05-26,on_time,2013-05-26T19:00:00Z
1822,1013,JFK,LGB,310,2465,B6,2013-08-23,on_time,2013-08-23T22:00:00Z
1257,1459,LGA,CLT,89,544,US,2013-05-03,on_time,2013-05-03T16:00:00Z
1225,2502,JFK,BUF,54,301,B6,2013-10-11,on_time,2013-10-11T16:00:00Z
1426,1296,EWR,SFO,347,2565,UA,2013-12-01,on_time,2013-12-01T19:00:00Z
1416,1734,EWR,ORD,120,719,UA,2013-01-11,on_time,2013-01-11T19:00:00Z
1128,785,JFK,LAX,325,2475,UA,2013-12-26,on_time,2013-12-26T16:00:00Z
729,33,JFK,LAX,350,2475,AA,2013-12-09,on_time,2013-12-09T12:00:00Z
957,2054,LGA,CLT,79,544,US,2013-09-23,on_time,2013-09-23T13:00:00Z
649,287,LGA,ORD,105,733,UA,2013-03-28,on_time,2013-03-28T11:00:00Z
1133,1690,EWR,MCO,136,937,UA,2013-04-07,on_time,2013-04-07T15:00:00Z
1513,341,LGA,ORD,113,733,AA,2013-09-13,on_time,2013-09-13T19:00:00Z
1553,4,JFK,MCO,148,944,DL,2013-01-30,on_time,2013-01-30T21:00:00Z
2054,371,LGA,ORD,106,733,AA,2013-07-31,on_time,2013-07-31T01:00:00Z
630,211,JFK,LAS,283,2248,B6,2013-09-05,on_time,2013-09-05T10:00:00Z
1755,177,JFK,SFO,348,2586,AA,2013-01-02,on_time,2013-01-02T22:00:00Z
1613,1151,EWR,SEA,319,2402,UA,2013-05-02,on_time,2013-05-02T20:00:00Z
1357,1663,EWR,SFO,363,2565,UA,2013-11-07,on_time,2013-11-07T18:00:00Z
1328,2043,JFK,ATL,117,760,DL,2013-07-22,on_time,2013-07-22T17:00:00Z
1953,4969,LGA,MHT,38,195,EV,2013-06-23,on_time,2013-06-23T23:00:00Z
1923,1152,EWR,PDX,331,2434,UA,2013-04-07,on_time,2013-04-07T23:00:00Z
1156,4425,JFK,DCA,58,213,MQ,2013-01-06,on_time,2013-01-06T17:00:00Z
1329,308,JFK,PWM,45,273,B6,2013-09-29,on_time,2013-09-29T17:00:00Z
2120,4368,EWR,DAY,79,533,EV,2013-05-30,on_time,2013-05-30T00:00:00Z
1528,763,LGA,DFW,205,1389,AA,2013-01-06,on_time,2013-01-06T20:00:00Z
1947,1555,EWR,SAN,295,2425,UA,2013-08-26,on_time,2013-08-26T23:00:00Z
1401,1164,EWR,FLL,166,1065,UA,2013-02-20,on_time,2013-02-20T18:00:00Z
2223,1183,JFK,MCO,127,944,B6,2013-11-23,on_time,2013-11-23T02:00:00Z
1606,257,JFK,SFO,364,2586,UA,2013-02-01,late,2013-02-01T19:00:00Z
929,361,LGA,PBI,154,1035,B6,2013-01-20,on_time,2013-01-20T14:00:00Z
1054,798,EWR,ORD,112,719,UA,2013-10-01,on_time,2013-10-01T15:00:00Z
1826,2698,EWR,MSY,167,1167,WN,2013-10-30,on_time,2013-10-30T22:00:00Z
1901,2159,JFK,MCO,125,944,DL,2013-08-24,on_time,2013-08-24T23:00:00Z
752,3879,EWR,CVG,102,569,9E,2013-05-13,on_time,2013-05-13T11:00:00Z
921,161,EWR,LAX,295,2454,VX,2013-07-17,on_time,2013-07-17T13:00:00Z
1924,1259,LGA,IAH,180,1416,UA,2013-08-26,on_time,2013-08-26T22:00:00Z
1140,401,EWR,ATL,93,746,DL,2013-10-01,on_time,2013-10-01T15:00:00Z
644,465,LGA,MKE,112,738,WN,2013-08-12,on_time,2013-08-12T10:00:00Z
1943,4361,EWR,TYS,96,631,EV,2013-12-02,on_time,2013-12-02T00:00:00Z
637,4150,EWR,CVG,97,569,EV,2013-05-15,on_time,2013-05-15T10:00:00Z
2245,718,JFK,BOS,36,187,B6,2013-10-20,on_time,2013-10-20T02:00:00Z
1628,3748,EWR,ORD,129,719,MQ,2013-11-22,on_time,2013-11-22T21:00:00Z
852,236,EWR,SAN,315,2425,UA,2013-06-21,on_time,2013-06-21T12:00:00Z
1750,4588,EWR,MHT,43,209,EV,2013-01-24,late,2013-01-24T21:00:00Z
828,4521,LGA,RDU,71,431,MQ,2013-03-06,on_time,2013-03-06T13:00:00Z
920,199,LGA,MCO,120,950,B6,2013-10-13,on_time,2013-10-13T13:00:00Z
2032,1464,EWR,CLE,67,404,UA,2013-03-08,on_time,2013-03-08T01:00:00Z
559,301,LGA,ORD,114,733,AA,2013-02-08,on_time,2013-02-08T11:00:00Z
1017,1004,JFK,BOS,39,187,B6,2013-05-20,on_time,2013-05-20T14:00:00Z
1039,23,JFK,SFO,341,2586,VX,2013-03-01,on_time,2013-03-01T15:00:00Z
622,4522,EWR,BNA,119,748,EV,2013-11-22,on_time,2013-11-22T11:00:00Z
1154,255,LGA,ORD,108,733,UA,2013-09-13,on_time,2013-09-13T16:00:00Z
1628,3556,LGA,DTW,92,502,MQ,2013-07-02,on_time,2013-07-02T20:00:00Z
1159,4658,LGA,ATL,118,762,MQ,2013-04-01,on_time,2013-04-01T16:00:00Z
714,657,LGA,IAH,183,1416,UA,2013-09-25,on_time,2013-09-25T11:00:00Z
807,1429,JFK,LAS,307,2248,DL,2013-01-04,on_time,2013-01-04T13:00:00Z
1801,1611,LGA,MIA,166,1096,AA,2013-01-21,on_time,2013-01-21T23:00:00Z
1115,208,JFK,PWM,50,273,B6,2013-07-31,on_time,2013-07-31T15:00:00Z
605,1175,LGA,MIA,153,1096,AA,2013-11-25,on_time,2013-11-25T11:00:00Z
7,839,JFK,BQN,192,1576,B6,2013-12-23,on_time,2013-12-23T04:00:00Z
1307,4148,EWR,BUF,48,282,EV,2013-02-03,on_time,2013-02-03T18:00:00Z
1717,3365,JFK,DCA,55,213,MQ,2013-08-02,on_time,2013-08-02T21:00:00Z
1747,4202,EWR,STL,160,872,EV,2013-01-23,late,2013-01-23T22:00:00Z
1953,65,JFK,ABQ,267,1826,B6,2013-11-29,on_time,2013-11-29T01:00:00Z
854,1216,EWR,SJU,207,1608,UA,2013-06-20,on_time,2013-06-20T12:00:00Z
2117,5489,LGA,CHO,50,305,EV,2013-09-16,on_time,2013-09-16T01:00:00Z
1200,4519,EWR,AVL,97,583,EV,2013-06-08,on_time,2013-06-08T16:00:00Z
604,1175,LGA,MIA,149,1096,AA,2013-09-03,on_time,2013-09-03T10:00:00Z
1330,165,EWR,BNA,100,748,WN,2013-07-16,on_time,2013-07-16T17:00:00Z
1951,4423,JFK,RDU,80,427,MQ,2013-03-06,on_time,2013-03-06T00:00:00Z
726,15,EWR,SEA,305,2402,AS,2013-10-10,on_time,2013-10-10T11:00:00Z
730,1289,EWR,SJU,191,1608,B6,2013-12-06,on_time,2013-12-06T12:00:00Z
1926,4661,EWR,CVG,91,569,EV,2013-03-03,late,2013-03-03T22:00:00Z
908,5109,LGA,CHS,86,641,EV,2013-09-10,on_time,2013-09-10T13:00:00Z
944,1720,LGA,MKE,118,738,WN,2013-04-26,on_time,2013-04-26T13:00:00Z
1154,2902,JFK,BOS,44,187,9E,2013-11-27,on_time,2013-11-27T17:00:00Z
931,876,LGA,MDW,116,725,WN,2013-11-24,on_time,2013-11-24T14:00:00Z
1152,3461,LGA,BNA,109,764,MQ,2013-06-16,on_time,2013-06-16T15:00:00Z
633,525,JFK,TPA,136,1005,B6,2013-10-02,on_time,2013-10-02T10:00:00Z
1354,3340,LGA,DTW,80,502,MQ,2013-11-24,on_time,2013-11-24T18:00:00Z
2222,486,JFK,ROC,55,264,B6,2013-12-08,on_time,2013-12-08T03:00:00Z
2212,713,JFK,SJU,213,1598,B6,2013-03-04,on_time,2013-03-04T03:00:00Z
804,1838,JFK,BOS,35,187,AA,2013-03-05,on_time,2013-03-05T13:00:00Z
1709,1148,EWR,DEN,236,1605,UA,2013-03-31,on_time,2013-03-31T21:00:00Z
1450,779,LGA,MIA,150,1096,AA,2013-07-31,on_time,2013-07-31T18:00:00Z
707,1496,EWR,SNA,296,2434,UA,2013-08-26,on_time,2013-08-26T11:00:00Z
1450,3359,JFK,RDU,71,427,MQ,2013-12-02,on_time,2013-12-02T19:00:00Z
642,1103,LGA,DFW,217,1389,AA,2013-10-18,late,2013-10-18T10:00:00Z
836,4486,EWR,CVG,97,569,EV,2013-06-11,on_time,2013-06-11T12:00:00Z
2356,2391,JFK,TPA,129,1005,DL,2013-06-26,late,2013-06-26T00:00:00Z
755,2267,LGA,MIA,168,1096,AA,2013-03-12,on_time,2013-03-12T11:00:00Z
859,422,JFK,LAX,326,2475,DL,2013-12-15,on_time,2013-12-15T14:00:00Z
2105,2197,LGA,DCA,50,214,US,2013-08-08,on_time,2013-08-08T01:00:00Z
1951,954,EWR,ORD,116,719,UA,2013-02-01,late,2013-02-01T00:00:00Z
1523,4178,JFK,ROC,46,264,9E,2013-04-29,on_time,2013-04-29T19:00:00Z
1923,359,LGA,ORD,125,733,AA,2013-12-11,late,2013-12-11T23:00:00Z
1725,193,EWR,SFO,339,2565,VX,2013-09-03,on_time,2013-09-03T21:00:00Z
627,1115,EWR,TPA,141,997,UA,2013-02-18,on_time,2013-02-18T11:00:00Z
